method,model,n_features,fit_seconds,train_acc,val_acc,test_acc,val_f1_macro,test_f1_macro
pca,linear_svm_balanced,1058,106.02173781394958,0.9992526158445441,0.7017543859649122,0.6599326599326599,0.4116831445432389,0.35756158837684354
pca,linear_svm,1058,131.63488912582397,0.9992526158445441,0.7017543859649122,0.6498316498316499,0.41593460303137725,0.34546295422127254
pca,logreg_balanced,1058,40.92520070075989,0.9992526158445441,0.6947368421052632,0.6767676767676768,0.4287257940700185,0.4214821628292748
pca,logreg,1058,32.96103096008301,0.9992526158445441,0.6842105263157895,0.6835016835016835,0.41816319114510586,0.4375703350155818
pca,rbf_svm,1058,0.7983057498931885,0.9992526158445441,0.6596491228070176,0.6195286195286195,0.34315682654215457,0.3286067018460653
pca,knn_k7,1058,0.004505157470703125,0.9985052316890882,0.45263157894736844,0.4713804713804714,0.19865176710414809,0.2007523789735103
pca,random_forest,1058,1.6722767353057861,0.9992526158445441,0.4421052631578947,0.4511784511784512,0.1448421356989132,0.10594233894887489
pca,dummy_most_frequent,1058,0.0,0.3938714499252616,0.4070175438596491,0.4074074074074074,0.04821280133000832,0.048245614035087724
pca,gaussian_nb,1058,0.014999866485595703,0.9387144992526159,0.17192982456140352,0.15151515151515152,0.1118720553990065,0.10671776232016589
