method,model,n_features,fit_time_s,train_acc,train_f1_macro,val_acc,val_f1_macro,test_acc,test_f1_macro,test_f1_weighted,overfit_gap
pca,logreg,1058,32.10457801818848,0.9992526158445441,0.9996914426470652,0.6842105263157895,0.41816319114510586,0.6835016835016835,0.4375703350155818,0.6662519057503273,0.31575093234286056
pca,logreg,1058,34.26602387428284,0.9992526158445441,0.9996914426470652,0.6842105263157895,0.41816319114510586,0.6835016835016835,0.4375703350155818,0.6662519057503273,0.31575093234286056
pca,logreg,1058,32.96103096008301,0.9992526158445441,0.9996914426470652,0.6842105263157895,0.41816319114510586,0.6835016835016835,0.4375703350155818,0.6662519057503273,0.31575093234286056
pca,logreg,1058,152.111083984375,0.9998418722327641,0.9998418720904239,0.6982456140350877,0.4344649298188637,0.6835016835016835,0.4324623937103392,0.6698961331495009,0.3163401887310806
pca,logreg_balanced,1058,153.28338527679443,0.9998418722327641,0.9998418720904239,0.6982456140350877,0.4344649298188637,0.6835016835016835,0.4324623937103392,0.6698961331495009,0.3163401887310806
pca,logreg,2054,186.78893995285034,0.9997441800972116,0.9996914426470652,0.6842105263157895,0.45265286486182665,0.6767676767676768,0.42461287818430676,0.6782318946821111,0.32297650332953476
pca,logreg,2054,193.1334240436554,0.9997441800972116,0.9996914426470652,0.6842105263157895,0.45265286486182665,0.6767676767676768,0.42461287818430676,0.6782318946821111,0.32297650332953476
pca,logreg_balanced,1058,41.408997774124146,0.9992526158445441,0.999692550529689,0.6947368421052632,0.4287257940700185,0.6767676767676768,0.4214821628292748,0.6616536999507424,0.32248493907686726
pca,logreg_balanced,1058,40.92520070075989,0.9992526158445441,0.999692550529689,0.6947368421052632,0.4287257940700185,0.6767676767676768,0.4214821628292748,0.6616536999507424,0.32248493907686726
pca,logreg_balanced,2054,180.30882048606873,0.9997441800972116,0.999692550529689,0.6842105263157895,0.4560116845362385,0.6666666666666666,0.41517341516829953,0.6706537716405276,0.3330775134305449
pca,logreg_balanced,2054,186.21968150138855,0.9997441800972116,0.999692550529689,0.6842105263157895,0.4560116845362385,0.6666666666666666,0.41517341516829953,0.6706537716405276,0.3330775134305449
pca,mlp_ann,2054,137.65831327438354,0.9997441800972116,0.999692550529689,0.631578947368421,0.37258014192193323,0.6531986531986532,0.3975107805155595,0.6494190451445198,0.34654552689855833
pca,rbf_svm,1058,3.9236655235290527,0.9998418722327641,0.9998418720904239,0.6842105263157895,0.40067631848072544,0.6296296296296297,0.3890983805850372,0.6193521988257531,0.37021224260313446
pca,mlp_ann,2054,26.087828874588013,0.9997441800972116,0.999692550529689,0.6631578947368421,0.4173728624625579,0.6363636363636364,0.3649377962834716,0.6265639977053035,0.3633805437335752
pca,linear_svm_balanced,1058,131.2078149318695,0.9992526158445441,0.999692550529689,0.7017543859649122,0.4116831445432389,0.6599326599326599,0.35756158837684354,0.6123486397279453,0.33931995591188413
pca,linear_svm_balanced,1058,106.02173781394958,0.9992526158445441,0.999692550529689,0.7017543859649122,0.4116831445432389,0.6599326599326599,0.35756158837684354,0.6123486397279453,0.33931995591188413
pca,linear_svm,1058,115.64064836502075,0.9992526158445441,0.999692550529689,0.7017543859649122,0.41593460303137725,0.6498316498316499,0.34546295422127254,0.6041982370483007,0.3494209660128942
pca,linear_svm,1058,146.6593897342682,0.9992526158445441,0.999692550529689,0.7017543859649122,0.41593460303137725,0.6498316498316499,0.34546295422127254,0.6041982370483007,0.3494209660128942
pca,linear_svm,1058,131.63488912582397,0.9992526158445441,0.999692550529689,0.7017543859649122,0.41593460303137725,0.6498316498316499,0.34546295422127254,0.6041982370483007,0.3494209660128942
pca,rbf_svm,2054,9.74706220626831,0.9997441800972116,0.9996914426470652,0.6596491228070176,0.40046374759802705,0.6094276094276094,0.3348388697488444,0.6049801927602411,0.3903165706696021
pca,rbf_svm,2054,9.39919900894165,0.9997441800972116,0.9996914426470652,0.6596491228070176,0.40046374759802705,0.6094276094276094,0.3348388697488444,0.6049801927602411,0.3903165706696021
pca,rbf_svm,1058,0.7871367931365967,0.9992526158445441,0.9996914426470652,0.6596491228070176,0.34315682654215457,0.6195286195286195,0.3286067018460653,0.5949290947726708,0.3797239963159246
pca,rbf_svm,1058,0.8521287441253662,0.9992526158445441,0.9996914426470652,0.6596491228070176,0.34315682654215457,0.6195286195286195,0.3286067018460653,0.5949290947726708,0.3797239963159246
pca,rbf_svm,1058,0.7983057498931885,0.9992526158445441,0.9996914426470652,0.6596491228070176,0.34315682654215457,0.6195286195286195,0.3286067018460653,0.5949290947726708,0.3797239963159246
pca,linear_svm_balanced,2054,660.0988538265228,0.9997441800972116,0.999692550529689,0.6175438596491228,0.3779675725509058,0.5858585858585859,0.3276691652239898,0.582667239560736,0.4138855942386257
pca,linear_svm_balanced,2054,634.5604009628296,0.9997441800972116,0.999692550529689,0.6175438596491228,0.3779675725509058,0.5858585858585859,0.3276691652239898,0.582667239560736,0.4138855942386257
pca,linear_svm,2054,675.0967967510223,0.9997441800972116,0.9996914426470652,0.6105263157894737,0.3655067189669494,0.5925925925925926,0.3201542590153334,0.588634558268846,0.407151587504619
pca,linear_svm,2054,639.9758625030518,0.9997441800972116,0.9996914426470652,0.6105263157894737,0.3655067189669494,0.5925925925925926,0.3201542590153334,0.588634558268846,0.407151587504619
pca,linear_svm,1058,197.31340265274048,0.9998418722327641,0.9998418720904239,0.631578947368421,0.3433979445809479,0.5993265993265994,0.3097973873335999,0.564709450956951,0.40051527290616473
pca,linear_svm_balanced,1058,188.73454332351685,0.9998418722327641,0.9998418720904239,0.631578947368421,0.3433979445809479,0.5993265993265994,0.3097973873335999,0.564709450956951,0.40051527290616473
pca,mlp_ann,2054,46.870482444763184,0.9994883601944231,0.9994049667256216,0.5929824561403508,0.3830077416761933,0.5218855218855218,0.30199064759602917,0.5469552543623694,0.47760283830890127
pca,knn_k7,2054,0.030776262283325195,0.9994883601944231,0.9993839967748886,0.41754385964912283,0.26638221828609293,0.42424242424242425,0.28503256003256,0.4702338813449925,0.5752459359519988
pca,knn_k7,2054,0.032186031341552734,0.9994883601944231,0.9993839967748886,0.41754385964912283,0.26638221828609293,0.42424242424242425,0.28503256003256,0.4702338813449925,0.5752459359519988
random_forest,gaussian_nb,100,0.0030007362365722656,0.5747384155455905,0.3923592319684455,0.5263157894736842,0.26020368756941653,0.5084175084175084,0.27626011428916303,0.5079810024753428,0.06632090712808203
mutual_info,rbf_svm,100,0.09405660629272461,0.9992526158445441,0.9996914426470652,0.5684210526315789,0.27603209455415545,0.569023569023569,0.2719330681973599,0.5126195667016418,0.43022904682097507
pca,random_forest,2054,8.15539002418518,0.9997441800972116,0.9996914426470652,0.47719298245614034,0.20669015482055722,0.5185185185185185,0.2575626121976892,0.44221844097447555,0.48122566157869306
pca,random_forest,2054,7.8148345947265625,0.9997441800972116,0.9996914426470652,0.47719298245614034,0.20669015482055722,0.5185185185185185,0.2575626121976892,0.44221844097447555,0.48122566157869306
random_forest,rbf_svm,100,0.08501696586608887,0.9992526158445441,0.9996914426470652,0.5894736842105263,0.3191703103038207,0.5757575757575758,0.2524704991178344,0.5252844433666538,0.42349504008696826
mutual_info,gaussian_nb,100,0.0019981861114501953,0.5440956651718983,0.38152024719457467,0.5228070175438596,0.2617422964940777,0.4612794612794613,0.24481387140560004,0.46250407306653796,0.08281620389243705
pca,random_forest,1058,7.55524754524231,0.9998418722327641,0.9998418720904239,0.624561403508772,0.30271400141460764,0.5757575757575758,0.23987616151706362,0.5036917017491942,0.4240842964751883
mutual_info,logreg,100,1.6482863426208496,0.6920777279521674,0.543265106357035,0.5298245614035088,0.24347408000410212,0.5286195286195287,0.23613648439098142,0.4979627712297204,0.16345819933263872
random_forest,logreg,100,1.5381982326507568,0.70254110612855,0.5607767887056948,0.5368421052631579,0.22089828468465114,0.5117845117845118,0.23541292404262606,0.4927166471185065,0.19075659434403824
random_forest,linear_svm,100,0.16271734237670898,0.6756352765321375,0.5057007428995902,0.5543859649122806,0.24731679744492677,0.5252525252525253,0.22741594003016574,0.48994933029909077,0.1503827512796122
fstat,gaussian_nb,100,0.0009851455688476562,0.4491778774289985,0.270890981833866,0.45614035087719296,0.225785876048659,0.4175084175084175,0.2149107791264654,0.4232735069336377,0.03166945992058101
fstat,rbf_svm,100,0.09938526153564453,0.9745889387144993,0.9777776376639505,0.5508771929824562,0.2655217846869576,0.48148148148148145,0.2137616863423315,0.4419213734625922,0.4931074572330178
mutual_info,linear_svm,100,0.15601515769958496,0.6681614349775785,0.48196784088400163,0.543859649122807,0.22449586004273506,0.5387205387205387,0.21099507611557344,0.487336393269082,0.1294408962570398
pca,knn_k7,1058,0.006502866744995117,0.9996837444655281,0.9996837444655281,0.2771929824561403,0.23588670649525914,0.21885521885521886,0.20997274742176483,0.22871157141333884,0.7808285256103092
pca,knn_k7,1058,0.0050008296966552734,0.9985052316890882,0.9993839967748886,0.45263157894736844,0.19865176710414809,0.4713804713804714,0.2007523789735103,0.45144216666942744,0.5271247603086169
pca,knn_k7,1058,0.006514549255371094,0.9985052316890882,0.9993839967748886,0.45263157894736844,0.19865176710414809,0.4713804713804714,0.2007523789735103,0.45144216666942744,0.5271247603086169
pca,knn_k7,1058,0.004505157470703125,0.9985052316890882,0.9993839967748886,0.45263157894736844,0.19865176710414809,0.4713804713804714,0.2007523789735103,0.45144216666942744,0.5271247603086169
mutual_info,knn_k7,100,0.0010001659393310547,0.9992526158445441,0.9996914426470652,0.5473684210526316,0.23505050637779604,0.5151515151515151,0.19141879028975806,0.4422272033024722,0.4841011006930289
random_forest,knn_k7,100,0.0009992122650146484,0.9992526158445441,0.9996914426470652,0.5824561403508772,0.27296198244606606,0.5218855218855218,0.1711174395578294,0.44616647773286333,0.4773670939590222
mutual_info,random_forest,100,0.7112905979156494,0.9917787742899851,0.990700456890602,0.5649122807017544,0.2144479937597895,0.5488215488215489,0.16695937976703532,0.4499803406599065,0.4429572254684362
fstat,logreg,100,2.0250661373138428,0.593423019431988,0.4425048488487595,0.4982456140350877,0.1877423783863946,0.4276094276094276,0.16518641662732517,0.38273752252404386,0.16581359182256045
random_forest,random_forest,100,0.6503012180328369,0.9895366218236173,0.98730935863136,0.5964912280701754,0.2397596048746856,0.5454545454545454,0.15333199402348338,0.444584700258459,0.44408207636907193
fstat,linear_svm,100,0.20983052253723145,0.5829596412556054,0.40824767405374035,0.4982456140350877,0.1579243402038315,0.4377104377104377,0.15287258344261603,0.36032648210320695,0.14524920354516768
fstat,knn_k7,100,0.0010068416595458984,0.9992526158445441,0.9996914426470652,0.5508771929824562,0.2659437181176311,0.45454545454545453,0.148023132993916,0.3831497355559166,0.5447071612990895
fstat,random_forest,100,0.6088066101074219,0.9895366218236173,0.9862204608291453,0.5508771929824562,0.22754330043264467,0.5050505050505051,0.145755866514681,0.4058166049649613,0.48448611677311226
pca,gaussian_nb,1058,0.01658010482788086,0.9387144992526159,0.9493683765039194,0.17192982456140352,0.1118720553990065,0.15151515151515152,0.10671776232016589,0.17559218834249093,0.7871993477374644
pca,gaussian_nb,1058,0.018055200576782227,0.9387144992526159,0.9493683765039194,0.17192982456140352,0.1118720553990065,0.15151515151515152,0.10671776232016589,0.17559218834249093,0.7871993477374644
pca,gaussian_nb,1058,0.014999866485595703,0.9387144992526159,0.9493683765039194,0.17192982456140352,0.1118720553990065,0.15151515151515152,0.10671776232016589,0.17559218834249093,0.7871993477374644
pca,random_forest,1058,1.8027451038360596,0.9992526158445441,0.9996914426470652,0.4421052631578947,0.1448421356989132,0.4511784511784512,0.10594233894887489,0.3197129882678176,0.5480741646660929
pca,random_forest,1058,2.0656538009643555,0.9992526158445441,0.9996914426470652,0.4421052631578947,0.1448421356989132,0.4511784511784512,0.10594233894887489,0.3197129882678176,0.5480741646660929
pca,random_forest,1058,1.6722767353057861,0.9992526158445441,0.9996914426470652,0.4421052631578947,0.1448421356989132,0.4511784511784512,0.10594233894887489,0.3197129882678176,0.5480741646660929
pca,gaussian_nb,1058,0.06507658958435059,0.7928526249209361,0.8253523130321933,0.10526315789473684,0.07139851370774422,0.10437710437710437,0.07970012251093565,0.08643569564685182,0.6884755205438318
pca,gaussian_nb,2054,0.09224867820739746,0.5410590943975442,0.5373473076684524,0.11929824561403508,0.08150413429648813,0.09764309764309764,0.06763656102048139,0.09781175805635514,0.44341599675444654
pca,gaussian_nb,2054,0.08924126625061035,0.5410590943975442,0.5373473076684524,0.11929824561403508,0.08150413429648813,0.09764309764309764,0.06763656102048139,0.09781175805635514,0.44341599675444654
fstat,dummy_most_frequent,100,0.0,0.3938714499252616,0.04709562109025916,0.4070175438596491,0.04821280133000832,0.4074074074074074,0.048245614035087724,0.2358674463937622,-0.01353595748214581
mutual_info,dummy_most_frequent,100,0.0010056495666503906,0.3938714499252616,0.04709562109025916,0.4070175438596491,0.04821280133000832,0.4074074074074074,0.048245614035087724,0.2358674463937622,-0.01353595748214581
pca,dummy_most_frequent,1058,0.0,0.3938714499252616,0.04709562109025916,0.4070175438596491,0.04821280133000832,0.4074074074074074,0.048245614035087724,0.2358674463937622,-0.01353595748214581
pca,dummy_most_frequent,1058,0.0,0.3938714499252616,0.04709562109025916,0.4070175438596491,0.04821280133000832,0.4074074074074074,0.048245614035087724,0.2358674463937622,-0.01353595748214581
pca,dummy_most_frequent,1058,0.0,0.3938714499252616,0.04709562109025916,0.4070175438596491,0.04821280133000832,0.4074074074074074,0.048245614035087724,0.2358674463937622,-0.01353595748214581
pca,dummy_most_frequent,2054,0.0,0.13481708876950627,0.019800120228434023,0.4070175438596491,0.04821280133000832,0.4074074074074074,0.048245614035087724,0.2358674463937622,-0.2725903186379011
pca,dummy_most_frequent,2054,0.0009996891021728516,0.13481708876950627,0.019800120228434023,0.4070175438596491,0.04821280133000832,0.4074074074074074,0.048245614035087724,0.2358674463937622,-0.2725903186379011
random_forest,dummy_most_frequent,100,0.0,0.3938714499252616,0.04709562109025916,0.4070175438596491,0.04821280133000832,0.4074074074074074,0.048245614035087724,0.2358674463937622,-0.01353595748214581
raw,dummy_most_frequent,26543,0.0,0.3938714499252616,0.04709562109025916,0.4070175438596491,0.04821280133000832,0.4074074074074074,0.048245614035087724,0.2358674463937622,-0.01353595748214581
pca,dummy_most_frequent,1058,0.0010008811950683594,0.08333333333333333,0.012820512820512822,0.15087719298245614,0.02184959349593496,0.14814814814814814,0.02150537634408602,0.03823178016726404,-0.06481481481481481
