method,model,n_features,fit_time_s,train_acc,train_f1_macro,val_acc,val_f1_macro,test_acc,test_f1_macro,test_f1_weighted,overfit_gap
pca,logreg,1058,32.10457801818848,0.9992526158445441,0.9996914426470652,0.6842105263157895,0.41816319114510586,0.6835016835016835,0.4375703350155818,0.6662519057503273,0.31575093234286056
pca,logreg,1058,34.26602387428284,0.9992526158445441,0.9996914426470652,0.6842105263157895,0.41816319114510586,0.6835016835016835,0.4375703350155818,0.6662519057503273,0.31575093234286056
pca,logreg,1058,32.96103096008301,0.9992526158445441,0.9996914426470652,0.6842105263157895,0.41816319114510586,0.6835016835016835,0.4375703350155818,0.6662519057503273,0.31575093234286056
pca,logreg,1058,152.111083984375,0.9998418722327641,0.9998418720904239,0.6982456140350877,0.4344649298188637,0.6835016835016835,0.4324623937103392,0.6698961331495009,0.3163401887310806
pca,logreg_balanced,1058,153.28338527679443,0.9998418722327641,0.9998418720904239,0.6982456140350877,0.4344649298188637,0.6835016835016835,0.4324623937103392,0.6698961331495009,0.3163401887310806
pca,logreg,2054,186.78893995285034,0.9997441800972116,0.9996914426470652,0.6842105263157895,0.45265286486182665,0.6767676767676768,0.42461287818430676,0.6782318946821111,0.32297650332953476
pca,logreg,2054,193.1334240436554,0.9997441800972116,0.9996914426470652,0.6842105263157895,0.45265286486182665,0.6767676767676768,0.42461287818430676,0.6782318946821111,0.32297650332953476
pca,logreg_balanced,1058,41.408997774124146,0.9992526158445441,0.999692550529689,0.6947368421052632,0.4287257940700185,0.6767676767676768,0.4214821628292748,0.6616536999507424,0.32248493907686726
pca,logreg_balanced,1058,40.92520070075989,0.9992526158445441,0.999692550529689,0.6947368421052632,0.4287257940700185,0.6767676767676768,0.4214821628292748,0.6616536999507424,0.32248493907686726
pca,logreg_balanced,2054,180.30882048606873,0.9997441800972116,0.999692550529689,0.6842105263157895,0.4560116845362385,0.6666666666666666,0.41517341516829953,0.6706537716405276,0.3330775134305449
